"department_id","department_name","manager_id","location_id"
"10","Administration","\NULL","1700"
"20","Marketing","\NULL","1800"
"30","Purchasing","\NULL","1700"
"40","Human Resources","\NULL","2400"
"50","Shipping","\NULL","1500"
"60","IT","\NULL","1400"
"70","Public Relations","\NULL","2700"
"80","Sales","\NULL","2500"
"90","Executive","\NULL","1700"
"100","Finance","\NULL","1700"
"110","Accounting","\NULL","1700"
"120","Treasury","\NULL","1700"
"130","Corporate Tax","\NULL","1700"
"140","Control And Credit","\NULL","1700"
"150","Shareholder Services","\NULL","1700"
"160","Benefits","\NULL","1700"
"170","Manufacturing","\NULL","1700"
"180","Construction","\NULL","1700"
"190","Contracting","\NULL","1700"
"200","Operations","\NULL","1700"
"210","IT Support","\NULL","1700"
"220","NOC","\NULL","1700"
"230","IT Helpdesk","\NULL","1700"
"240","Government Sales","\NULL","1700"
"250","Retail Sales","\NULL","1700"
"260","Recruiting","\NULL","1700"
"270","Payroll","\NULL","1700"
